Indicator,Category,Country,Notes,Source,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Foreign Direct Investment,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277.04,1446.62,1044.02,981.75,1194.67,934.34,1027.68,698.78,468.08,377.38,674.71,
Foreign Direct Investment - Equity,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.01,1442.41,1043.15,979.44,1189.03,922.24,1024.73,692.58,462.91,377.33,,
Foreign Direct Investment - Other Capital,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03,4.21,0.88,2.32,5.64,12.10,2.95,6.20,5.16,0.05,9.20,
Portfolio Investment,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14917.17,6005.43,1812.88,7329.06,11802.27,16365.46,5137.20,3385.59,2442.24,1153.00,8378.77,
Portfolio Investment - Equity,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11448.16,4657.55,859.06,3637.31,2362.73,1893.19,755.12,206.54,56.57,250.03,428.29,
PortfolioInvestment - Bonds,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443.99,776.28,395.90,482.84,966.82,1022.39,231.22,564.11,980.34,474.08,998.99,
Portfolio Investment - Money market instruments,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.02,571.59,557.92,3208.90,8472.72,13449.88,4150.86,2614.95,1405.34,428.90,6951.49,
Other Investment,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3556.54,2190.97,2267.24,3917.75,3815.53,6690.25,3491.25,2616.14,2418.56,2375.61,3268.85,
Other Investment - Trade credits,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.03,0.00,0.16,10.00,6.92,0.11,0.05,2.05,3.01,0.00,0.00,
Other Investment - Loans,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.33,1655.28,2240.11,3164.63,3522.83,5078.78,2555.77,2378.51,2311.23,2307.85,3206.87,
Other Investment - Currency deposits,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,8.10,0.03,3.52,1.03,2.96,0.82,6.60,9.32,1.91,0.03,
Other Investment - Other claims,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120.18,527.59,26.93,739.60,284.75,1608.40,934.62,228.99,95.00,65.85,61.95,
Total capital importation,Capital Importation,Nigeria,$ million,NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20750.76,9643.00,5124.14,12228.57,16812.47,23990.05,9656.13,6700.51,5328.88,3905.99,12322.32,
