Indicator,Category,Country,Notes,Source,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
Foreign Direct Investment,Capital Importation,Nigeria,$ million,NBS,,,195.28,121.82,490.69,472.99,544.5,768.86,394.61,211.14,717.71,123.16,174.46,184.29,340.64,344.63,211.38, 274.37 , 117.60 , 378.41 , 246.62 , 261.35 , 530.63 , 156.08 , 247.37 , 223.14 , 206.58 , 257.25 , 214.25 , 148.59 , 414.79 , 250.04 , 154.76 , 77.97 , 107.81 , 358.23 ,154.97, 147.16 , 81.72 , 84.23 , 47.60 , 86.03 , 59.77 , 183.97 , 119.18 , 29.83 , 103.82 , 421.88 , 126.29 , 142.67 , 296.25 ,
Foreign Direct Investment - Equity,Capital Importation,Nigeria,$ million,NBS,,,194.63,113.95,490.39,461.58,544.21,767.83,394.56,211.01,715.86,120.98,173.73,184.21,340.64,344.57,210.1, 274.07 , 117.47 ,377.8, 246.61 , 255.71 , 530.63 , 156.08 , 246.67 , 223.14 , 202.88 , 249.55 , 213.84 , 148.59 , 414.79 , 247.50 , 148.56 , 77.97 , 107.81 , 358.23 ,154.97, 142.16 , 81.72 , 84.06 , 47.59 , 86.02 , 59.76 , 183.96 , 119.17 , 29.82 , 97.12 , 419.41 , 124.31 , 140.41 , 281.61 ,
Foreign Direct Investment - Other Capital,Capital Importation,Nigeria,$ million,NBS,,,0.65,7.87,0.3,11.41,0.29,1.03,0.05,0.13,1.86,2.17,0.73,0.08,,0.07,1.28, 0.30 , 0.13 ,0.61, 0.00 , 5.63 ,,, 0.70 ,, 3.70 , 7.70 , 0.41 ,,, 2.54 , 6.20 ,,,,, 5.00 ,, 0.16 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 6.71 , 2.47 , 1.98 , 2.26 , 14.64 ,
Portfolio Investment,Capital Importation,Nigeria,$ million,NBS,,,"3,735.48","3,395.76","2,869.19","4,917.13","5,127.75","2,003.10","1,860.65","2,183.15","1,009.13",952.5,271.03,337.31,920.32,284.22,313.61, 770.51 ," 2,767.42 "," 3,477.53 "," 4,565.09 "," 4,119.46 "," 1,723.05 "," 1,394.68 "," 7,106.16 "," 4,348.67 "," 3,027.05 "," 1,883.58 "," 4,309.47 ", 385.32 , 407.25 , 35.15 , 974.14 , 551.37 ," 1,217.21 ", 642.87 ,957.58, 757.32 , 442.08 , 285.26 , 649.28 , 106.85 , 87.11 , 309.76 ," 2,075.59 "," 1,404.70 ", 899.31 ," 3,999.17 "," 5,204.61 "," 4,200.03 "," 4,853.96 ",
Portfolio Investment - Equity,Capital Importation,Nigeria,$ million,NBS,,,"3,532.53","2,719.29","2,260.36","3,875.35","3,770.37","1,542.08","1,139.38","1,846.08",879.97,792.12,201.69,279.81,201.12,176.44,101.99, 614.05 ," 1,932.07 ",989.2, 701.61 ," 1,048.39 ", 394.47 , 218.27 , 656.23 , 497.62 , 385.69 , 353.65 , 639.72 , 53.25 , 44.10 , 18.05 , 26.88 , 85.16 , 56.50 , 38.00 ,31.78, 12.72 , 7.21 , 4.86 , 222.31 , 8.52 , 8.37 , 10.83 , 49.37 , 149.93 , 84.69 , 144.30 , 117.33 , 145.18 , 328.10 ,
PortfolioInvestment - Bonds,Capital Importation,Nigeria,$ million,NBS,,,31.64,427.65,482.49,731.74,"1,000.28",229.48,705.12,50.54,20.34,0.28,1.5,,369,25.4,, 57.87 , 115.43 ,309.54, 335.88 , 400.14 , 37.48 , 193.33 , 567.15 , 316.28 , 91.60 , 47.36 , 231.22 ,,,, 138.69 , 14.54 , 364.97 , 45.91 ,310.06, 322.04 , 203.80 , 144.44 , 301.08 , 85.29 , 20.56 , 67.16 , 420.81 , 177.79 , 69.87 , 330.51 , 877.41 , 469.72 ," 1,575.49 ",
Portfolio Investment - Money market instruments,Capital Importation,Nigeria,$ million,NBS,,,171.32,248.83,126.34,310.04,357.1,231.54,16.14,286.53,108.82,160.1,67.85,57.5,350.2,82.37,211.61, 98.59 , 719.91 ," 2,178.79 "," 3,527.60 "," 2,670.93 "," 1,291.10 ", 983.08 ," 5,882.78 "," 3,534.77 "," 2,549.76 "," 1,482.57 "," 3,438.54 ", 332.07 , 363.15 , 17.10 , 808.57 , 451.67 , 795.74 , 558.96 ,615.74, 422.56 , 231.08 , 135.96 , 125.90 , 13.04 , 58.19 , 231.78 ," 1,605.41 "," 1,076.98 ", 744.74 ," 3,524.37 "," 4,209.86 "," 3,585.14 "," 2,950.38 ",
Other Investment,Capital Importation,Nigeria,$ million,NBS,,,488,"1,163.81",544.67,413.76,870.33,"1,727.78",416.34,272.07,"1,021.26",481.3,265.48,520.57,561.16,920.03,383.28, 747.47 ," 1,260.08 "," 1,526.92 "," 1,491.93 "," 1,132.75 ", 601.53 , 589.32 ," 1,154.95 "," 1,480.50 "," 2,393.25 "," 1,661.55 "," 1,330.65 ", 761.03 , 639.44 , 760.13 , 776.99 , 246.27 , 406.35 ," 1,186.53 ", 460.59 , 630.87 , 635.87 , 691.23 , 435.76 , 837.34 , 507.77 , 594.75 ," 1,181.25 "," 1,169.97 ", 249.53 , 668.10 , 311.17 , 777.80 , 864.57 ,
Other Investment - Trade credits,Capital Importation,Nigeria,$ million,NBS,,,,,14.7,1.37,5.08,0.88,,,,,,,,0.16,,,, 10.00 ,,, 6.29 , 0.63 ,, 0.11 ,,, 0.05 ,,,,, 1.50 ,, 0.55 ,,, 3.01 ,,,,,,,,,,,,,
Other Investment - Loans,Capital Importation,Nigeria,$ million,NBS,,,239.69,920.52,436.41,236.99,349.93,391,384.83,153.23,696.38,420.84,241.81,520.19,561.1,917.01,369.28, 747.47 , 956.69 ,"1,091.20"," 1,268.44 "," 1,121.66 ", 561.24 , 571.48 , 755.94 ," 1,067.02 "," 1,774.88 "," 1,480.94 ", 559.79 , 726.00 , 624.45 , 645.53 , 760.00 , 209.77 , 334.35 ," 1,074.38 ",430.59, 595.87 , 619.16 , 665.61 , 433.87 , 771.53 , 507.71 , 594.75 ," 1,151.18 "," 1,153.96 ", 235.42 , 666.30 , 311.17 , 774.81 , 864.57 ,
Other Investment - Currency deposits,Capital Importation,Nigeria,$ million,NBS,,,,2.48,,,,,,0.99,7.11,,,,,0.03,3,, 0.52 ,0,,,, 1.03 ,,,, 2.96 , 0.82 ,,,,,, 0.00 , 6.59 ,,, 3.70 , 5.62 , 1.84 ,, 0.07 ,,,, 0.03 ,,,,,
Other Investment - Other claims,Capital Importation,Nigeria,$ million,NBS,,,248.3,240.81,93.56,175.4,515.31,"1,335.91",31.51,117.85,317.77,60.46,23.66,0.38,0.06,2.83,11,, 302.88 ,425.72, 223.49 , 11.08 , 34.00 , 16.18 , 399.01 , 413.37 , 618.37 , 177.65 , 769.99 , 35.04 , 14.99 , 114.60 , 16.99 , 35.00 , 72.00 , 105.00 , 30.00 , 35.00 , 10.00 , 20.00 , 0.04 , 65.81 ,,, 30.07 , 16.01 , 14.08 , 1.80 ,, 2.99 ,,
